,J,collective,qp
,0,0,
,2,93.2,
,4,306.6,
,6,632.1,
,8,1058.5,
,10,1570.9,
,12,2150.6,
,14,2777.5,
,16,3436,
,18,4122,
,,,
,8,,1147
,2,,1260
,1,,1310
,4,,1514
,6,,1554
,5,,1637
,3,,1862
,16,,2447
,14,,2573
