lm,8,14,deer,0
lm,8,15,hurricane-track,0
lm,8,16,climbing-anchors,0
lm,8,17,slide-uphill-with-pulley,0
lm,8,18,layback,0
lm,8,19,death-triangle,0
lm,8,20,telephone-wire,0
lm,8,21,skee-ball,0
lm,8,22,plane-wind-symbolic,0
lm,8,23,applied-force-below-horizontal,0
lm,8,24,ramp-force-probe,0
lm,9,1,mixer,0
lm,9,2,circularaccelunits,0
lm,9,3,loop,0
lm,9,4,circularcalculus,0
lm,9,5,cyclists,1
lm,9,6,tilt-a-whirl,1
lm,9,7,off-ramp,1
lm,9,8,train,0
lm,9,9,conicalpendulum,0
lm,9,10,rodent,0
lm,9,11,governor,0
lm,9,12,circling-blocks,0
lm,9,13,paradox,0
lm,9,14,sirius-centrifugal,0
lm,9,15,wall-of-death,0
lm,9,16,car-top-of-hill,0
lm,9,17,brick-circle,0
lm,10,1,laurie,0
lm,10,2,eclipse,0
lm,10,3,moon2,0
lm,10,4,rocketweight,0
lm,10,5,extrasolar,0
lm,10,6,startrek,0
lm,10,7,rotatinggravitatingbody,0
lm,10,8,mars-trip,0
lm,10,9,mineshaft,0
lm,10,10,ceres,1
lm,10,11,prove-a-equals-g,1
lm,10,12,ida,1
lm,10,13,escapevelocity,0
lm,10,14,galacticcenter,0
lm,10,15,upsilon-andromedae,1
lm,10,16,geosynchronous,1
lm,10,17,receding-moon,1
lm,10,18,alternateuniverse,0
lm,10,19,alien-gangster,1
lm,10,20,earthmooncancellation,0
lm,10,21,uranus,0
lm,10,22,iss-g,0
lm,10,23,new-horizons,0
lm,10,24,ground-skimming,0
lm,10,25,overlapping-shells,0
lm,10,26,mineshaft-half-way-to-center,0
lm,10,27,earth-layers,0
lm,10,28,iss-apparent-gravity,0
lm,11,1,sweatold,0
lm,11,2,negativeke,0
lm,11,3,sprinter,0
lm,11,4,crash,0
lm,11,5,astronaut,0
lm,11,6,melt-antarctic,0
lm,11,7,bulletthroughbook,1
lm,11,8,boatengine,1
lm,11,9,aronskeratio,1
lm,11,10,earthmoonke,0
lm,11,11,microwave-waste,1
lm,11,12,colliding-balls,0
lm,11,13,balls,0
lm,11,14,columbia,0
lm,11,15,hydraulic-ram,0
lm,11,16,melt-and-boil,0
lm,11,17,fly-wing-ke,0
lm,11,18,grass-growing,0
lm,12,1,negativepe,0
lm,12,2,maxkepe,0
lm,12,3,slidingmagnets,0
lm,12,4,boilbucket,0
lm,12,5,grasshopper,1
lm,12,6,bikeloop,0
lm,12,7,skater-rolls-off-pipe,1
lm,12,8,rolling-hoop,0
lm,12,9,pe-ke-yin-yang,1
lm,12,10,honeymoon,0
lm,12,11,niagara-hydroelectric,1
lm,12,12,heliumcylinder,0
lm,12,13,two-gases-leaking,0
lm,12,14,sweat,0
lm,12,15,throw-down-and-up,0
lm,12,16,hoop,0
lm,12,17,atwood-energy,0
lm,13,1,stoppingdistances,0
lm,13,2,posnegwork,0
lm,13,3,heliumescape,0
lm,13,4,bubba,0
lm,13,5,ant,0
lm,13,6,,0
lm,13,7,anchor,0
lm,13,8,horsepower,0
lm,13,9,magnetpe,0
lm,13,10,keconstantaccel,0
lm,13,11,space-probe,0
